room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
5842195,1235,30332832,Entire home/apt,,Helsinki,,KAARTINKAUPUNKI,15,5.0,6,3.0,,216.0,,"Central Helsinki 3-4 Bed, 115 m² ",Apartment,2017-05-18 03:52:16.773637,60.164839,24.946359,0101000020E610000078465B9544F238407C0DC17119154E40
1438387,1235,7722791,Entire home/apt,,Helsinki,,HERTTONIEMI,0,0.0,3,2.0,,226.0,,Very good apartment in Helsinki,Apartment,2017-05-18 03:52:16.770748,60.190253,25.033735,0101000020E610000006BB61DBA2083940A27BD6355A184E40
14096380,1235,83928233,Entire home/apt,,Helsinki,,ETU-TÖÖLÖ,0,0.0,2,1.0,,262.0,,Apartment in Central Helsinki,Apartment,2017-05-18 03:52:14.847586,60.173173,24.929912,0101000020E610000070287CB60EEE38406DC669882A164E40
6373258,1235,12566782,Entire home/apt,,Helsinki,,OULUNKYLÄ,2,0.0,6,3.0,,209.0,,Detached house in Helsinki,House,2017-05-18 03:52:14.824383,60.235638,24.935125,0101000020E610000008AC1C5A64EF3840F1D8CF62291E4E40
3813364,1235,19349432,Entire home/apt,,Helsinki,,EIRA,21,5.0,5,3.0,,307.0,,loft apartment,Loft,2017-05-18 03:52:13.800240,60.157198,24.934598,0101000020E610000032E884D041EF3840917F66101F144E40
13528555,1235,77741630,Entire home/apt,,Helsinki,,PUNAVUORI,0,0.0,5,2.0,,210.0,,For you,Loft,2017-05-18 03:52:13.796456,60.162372,24.938141,0101000020E6100000680932022AF038409FE40E9BC8144E40
13269835,1235,28460873,Entire home/apt,,Helsinki,,ULLANLINNA,6,5.0,4,3.0,,284.0,,Appartment in the best area in Hki,Apartment,2017-05-18 03:52:13.757081,60.157559,24.942892,0101000020E6100000F8A8BF5E61F138406118B0E42A144E40
16623572,1235,1411936,Entire home/apt,,Helsinki,,KAARTINKAUPUNKI,0,0.0,6,2.0,,215.0,,Luxury Two bedroom apartment in the center (U10),Apartment,2017-05-18 03:52:13.743831,60.163939,24.950173,0101000020E6100000CE8AA8893EF33840FCC401F4FB144E40
2911181,1235,4724928,Entire home/apt,,Helsinki,,KALLIO,32,5.0,8,2.0,,228.0,,+100m2 design flat in trendy Kallio,Apartment,2017-05-18 03:52:01.604767,60.180912,24.951172,0101000020E6100000F4DE180280F338401BBAD91F28174E40
3417161,1235,10978608,Entire home/apt,,Helsinki,,PUNAVUORI,40,5.0,5,2.0,,300.0,,Luxurious 5-star House in the City Center,House,2017-05-18 03:52:01.588637,60.164201,24.942279,0101000020E610000024B5503239F13840397CD28904154E40
2907079,1235,4295691,Entire home/apt,,Helsinki,,PUNAVUORI,8,4.5,5,2.0,,193.0,,"Unique Duplex w Sauna, City Center",Apartment,2017-05-18 03:52:00.681183,60.158227,24.933934,0101000020E61000005A9F724C16EF38400E2C47C840144E40
12945970,1235,71113510,Entire home/apt,,Helsinki,,ULLANLINNA,0,0.0,3,1.0,,205.0,,"A centrally located beautiful, spacious apartment",Apartment,2017-05-18 03:51:59.723768,60.162807,24.944598,0101000020E6100000F4DDAD2CD1F13840AA471ADCD6144E40
7615207,1235,39904628,Entire home/apt,,Helsinki,,TAPANINKYLÄ,11,5.0,4,2.0,,186.0,,Takalantie 11,House,2017-05-18 03:51:59.715149,60.271905,25.021944,0101000020E6100000EB573A1F9E053940374F75C8CD224E40
12108889,1235,64448793,Entire home/apt,,Helsinki,,MUNKKINIEMI,2,0.0,6,3.0,,167.0,,Beautiful family apartment,Apartment,2017-05-18 03:51:56.572626,60.200701,24.881962,0101000020E61000009450FA42C8E1384023A30392B0194E40
16253780,1235,29200072,Entire home/apt,,Helsinki,,LAUTTASAARI,1,0.0,5,2.0,,169.0,,"Two bedroom apartment, sea view and free parking",Apartment,2017-05-18 03:51:56.567645,60.161312,24.885898,0101000020E610000081971936CAE23840E73922DFA5144E40
