room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
1343675,1140,7154676,Private room,,Edinburgh,,South Morningside,67,5.0,2,1.0,,49.0,,"Room 1- Clean, Cosy, Comfy DOUBLE",2017-04-24 03:22:39.601539,55.9212,-3.229962,0101000020E6100000FF942A51F6D609C0A089B0E1E9F54B40
4283836,1140,22236548,Private room,,Edinburgh,,Dalry,23,4.5,2,1.0,,54.0,,Room that feels like home.,2017-04-24 03:22:21.279134,55.944014,-3.236781,0101000020E61000006F83DA6FEDE409C0AB7B6473D5F84B40
15312165,1140,97538927,Private room,,Edinburgh,,East Craigs,11,4.5,2,1.0,,52.0,,Spacious double bedroom in Edinburgh,2017-04-24 03:21:00.866847,55.954654,-3.290595,0101000020E6100000890CAB7823530AC06F7F2E1A32FA4B40
6159926,1140,31497385,Private room,,Edinburgh,,Harbour,15,5.0,2,1.0,,53.0,,Charming room on the Shore,2017-04-24 03:19:16.401890,55.975036,-3.170139,0101000020E6100000723106D6715C09C01A36CAFACDFC4B40
13023298,1140,8625478,Private room,,Edinburgh,,Lorne,10,5.0,2,1.0,,53.0,,Bright Single Room in Central Edinburgh/Leith,2017-04-24 03:19:15.712863,55.966683,-3.174784,0101000020E61000009AE95E27F56509C0B24CBF44BCFB4B40
7452939,1140,39031731,Private room,,Edinburgh,,Lorne,3,5.0,2,1.0,,50.0,,Comfortable room in Waterfront area.,2017-04-24 03:17:57.246200,55.97854,-3.167107,0101000020E61000001D76DF313C5609C0F7E978CC40FD4B40
13875226,1140,18883109,Private room,,Edinburgh,,Shandon,3,5.0,2,1.0,,50.0,,"Spacious Double Room, Full Apartment Access",2017-04-24 03:17:36.278200,55.937104,-3.226531,0101000020E6100000CD3D247CEFCF09C0B3791C06F3F74B40
12008087,1140,63950162,Private room,,Edinburgh,,Firrhill,12,5.0,2,1.0,,39.0,,Double room in south west Edinburgh,2017-04-24 03:17:11.476520,55.909253,-3.236109,0101000020E610000082548A1D8DE309C01B65FD6662F44B40
7384650,1140,29783383,Private room,,Edinburgh,,Sighthill,4,4.5,2,1.0,,33.0,,LARGE DOUBLEROOM IN A 3 BEDROM FLAT,2017-04-24 03:17:09.784303,55.921154,-3.283812,0101000020E6100000E6B2D1393F450AC0304AD05FE8F54B40
7712875,1140,39720222,Private room,,Edinburgh,,Fairmilehead,14,5.0,2,1.0,,39.0,,"Cozy home, leafy outskirts of city with parking",2017-04-24 03:17:03.854023,55.906645,-3.19757,0101000020E6100000A25D85949F9409C07C0A80F10CF44B40
16557953,1140,109034017,Private room,,Edinburgh,,Cramond,3,4.0,2,3.0,,37.0,,Double room with en suite,2017-04-24 03:16:53.750836,55.959159,-3.307133,0101000020E6100000CF2D742502750AC00055DCB8C5FA4B40
6625619,1140,21931654,Private room,,Edinburgh,,Pilton,13,5.0,2,1.0,,41.0,,Excellent room in spacious flat :-),2017-04-24 03:16:30.855841,55.975026,-3.252216,0101000020E610000037397CD289040AC0F65FE7A6CDFC4B40
12970453,1140,53736254,Private room,,Edinburgh,,Baberton,4,4.0,2,1.0,,25.0,,one double bedroom in west edinburgh,2017-04-24 03:16:27.435698,55.907595,-3.274084,0101000020E6100000DCDAC2F352310AC0AE81AD122CF44B40
9010471,1140,47051030,Private room,,Edinburgh,,Sighthill,16,5.0,2,1.0,,28.0,,Private room between City & Airport,2017-04-24 03:16:24.122991,55.928864,-3.27706,0101000020E6100000F33CB83B6B370AC04337FB03E5F64B40
14093024,1140,57741644,Private room,,Edinburgh,,Gilmerton,6,5.0,2,1.0,,38.0,,Comfortable neutral double bedroom,2017-04-24 03:16:22.683597,55.905827,-3.142013,0101000020E6100000D3DA34B6D72209C0BA6A9E23F2F34B40
15211020,1140,67341458,Private room,,Edinburgh,,Craiglockhart,1,,2,1.0,,33.0,,Cosy Double Room in Edinburgh,2017-04-24 03:16:21.338898,55.922518,-3.261584,0101000020E61000004241295AB9170AC054FCDF1115F64B40
